NAME,BRK_A3,POP_EST,GDP_MD_EST,POP_YEAR,GDP_YEAR,ISO_A3,REGION_UN,SUBREGION,REGION_WB,lng,lat,E_ISO_CODE,E_1970,E_1971,E_1972,E_1973,E_1974,E_1975,E_1976,E_1977,E_1978,E_1979,E_1980,E_1981,E_1982,E_1983,E_1984,E_1985,E_1986,E_1987,E_1988,E_1989,E_1990,E_1991,E_1992,E_1993,E_1994,E_1995,E_1996,E_1997,E_1998,E_1999,E_2000,E_2001,E_2002,E_2003,E_2004,E_2005,E_2006,E_2007,E_2008,E_2009,E_2010,E_2011,E_2012,E_2013,E_2014,E_2015,E_2016,E_2017,E_2018
Zimbabwe,ZWE,"13805084","28330.00","2017","2016",ZWE,Africa,Eastern Africa,Sub-Saharan Africa,"29.851","-19.004",ZWE,9.647494063,9.595371783,9.146776124,10.593479994,10.284826764,9.072878015,10.03657452,9.071984915,8.728058965,9.001201828,9.615617639,9.201246376,8.827663461,8.763389605,9.217896827,10.65678255,12.231913003,15.618068343,15.103248369,15.30699446,17.17848284,18.91573009,19.029639995,17.449804375,16.34421556,16.111497855,15.512912075,14.561571405,14.771745685,16.65822284,14.496875822,14.67347548,13.285711598,10.87109325,10.3318096,11.39012312,10.579212585,10.408159,8.050104675,7.75787346,9.995111405,11.9764725,12.483545405,12.690497919,12.56799033,12.776528434,11.4727996565002,12.8121327922471,13.0446408832833
Zambia,ZMB,"15972000","65170.00","2017","2016",ZMB,Africa,Eastern Africa,Sub-Saharan Africa,"27.775","-13.458",ZMB,3.669059688,3.826292074,4.234739974,4.539008296713,4.56147004229,4.73281419446,4.725482178852,4.273470180844,4.088012979385,3.703156078622,3.68326765447,3.374798397442,3.2757997834,3.200336729135,3.152941101118,3.13571562854,3.22698251406,3.187988558303,3.469926299516,3.589678119234,2.954906545459,3.070553175412,3.066054462241,2.747886459363,2.348017065601,2.322116438027,1.952056168097,2.531920405131,2.336834694099,1.916276739541,1.949368635214,1.965440827489,2.064423149825,2.231214907914,2.298604917205,2.458267988515,2.378992432956,1.74581546014,1.867824686625,2.03643886038,2.239055030155,2.552793446692,3.579863535671,3.801031771035,4.275356875485,4.442017415253,4.7003608629523,5.05481203620994,5.16627972493533
Yemen,YEM,"28036829","73450.00","2017","2016",YEM,Asia,Western Asia,Middle East & North Africa,"47.587","15.909",YEM,1.50167199864,1.51479963324,1.79209983238,2.209955148818,2.195513941002,2.102490006802,2.562972334679,2.599329622319,2.863784462684,3.07440857809,3.918145755158,3.93766580518,4.42795799163,4.87640984312,4.98824876212,5.33030213958,5.63388006065,6.18089277795,6.65572318259,6.87067652546,6.88722191602,8.67946796921,9.3741384612,8.45248898425,9.78746835601,10.91753362589,11.18417020394,12.05070316419,12.84445273613,14.49868584971,15.49883841637,16.52466919229,16.56930854944,19.2893681087,20.19572703478,21.77727025278,22.7053796496,25.3803013007,25.98709800984,29.02468708957,27.17528022935,22.84505927648,21.518647652972,28.352236346822,26.911149415669,14.286611957909,11.4108416096276,11.5423969450492,11.7679906828561
Vietnam,VNM,"96160163","594900.00","2017","2016",VNM,Asia,South-Eastern Asia,East Asia & Pacific,"108.384","13.406",VNM,13.40702788,13.34281351,14.35822951,14.53553516,9.83361328,9.88553052,6.04706393,6.6973046,14.68477708,15.4140509,16.11127301,16.52758592,17.87573803,19.22653159,19.30505382,19.43124248,21.31167581,23.79864803,23.25251305019,19.92818725493,20.18726103122,20.16393013488,21.21914215421,24.88637468519,29.13054028616,33.63829067144,37.81980804201,43.83118234056,48.94545630775,50.22712139579,55.52895705903,61.25585035551,72.12719564485,76.6108315214,90.60445450614,99.24054004041,101.98696804574,112.86642375775,124.32621349858,138.73075240761,154.6799659141,154.5627325414,153.24267532222,159.42887575872,174.941642256,202.77045888001,242.065191026726,242.460756519338,271.474095716949
Venezuela,VEN,"31304016","468600.00","2017","2016",VEN,Americas,South America,Latin America & Caribbean,"-66.182","7.124",VEN,57.3061299323,55.9519901123,56.8774501033,64.8711945021,63.9213547595,60.7999175847,65.0358297538,67.2790758345,72.2354337617,82.0625990064,89.7823317844,90.7724003625,91.5186405733,90.472340977,91.2367765545,91.7427259836999,92.5471925662,92.269363787,93.5036735823,99.5910677846,102.4624313167,101.0497871861,103.3928344944,110.1482969428,110.5668500172,119.7177144725,127.8848445553,133.6580079832,135.3973962769,124.8626052227,132.587646271,139.5930653981,136.7309078189,136.8181465794,144.2585528772,152.4782154248,149.4552027534,147.2005834535,177.593684159,178.7064421177,189.0063349723,170.8369706814,190.1557531541,178.5554432946,177.3862228884,158.5390534239,145.803765173354,133.131351591913,120.210670798554
Vatican,VAT,"1000","0.00","2015","0",VAT,Europe,Southern Europe,Europe & Central Asia,"12.434","41.902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,VUT,"282814","723.00","2017","2016",VUT,Oceania,Melanesia,East Asia & Pacific,"167.686","-16.226",VUT,0.095787888759,0.095824272565,0.100610445409,0.113025523458,0.140169507308,0.117480626648,0.111641134159,0.118065843809,0.116590086809,0.132306318609,0.135931109202,0.148595542789,0.136548780053,0.072827569298,0.121397184628,0.134861728732,0.116495746802,0.13114370476,0.132811396661,0.126300047605,0.130202200106,0.0655046295663,0.06163422819,0.06031490974,0.04397023325,0.04550381392,0.04741386482,0.04780553612,0.05234362298,0.04984548201,0.05694727333,0.06023873924,0.05613122882,0.05476461679,0.061287308711545,0.062613260781824,0.057591228067082,0.10535176879796,0.058882477331307,0.111614490800781,0.120213353279341,0.15105917721193,0.214955337502449,0.128765520392069,0.07850803676929,0.07761526551812,0.0783557578855564,0.0803534242928445,0.0824806160663438
Uzbekistan,UZB,"29748859","202300.00","2017","2016",UZB,Asia,Central Asia,Europe & Central Asia,"63.140","41.756",UZB,49.013894580422,49.345390135422,52.194826189297,55.20348642859,58.67852648796,65.30437990746,66.45252677823,69.21346480138,71.71992828042,74.29652085739,79.46749312591,83.1517782676,86.60151176914,89.57548181071,92.63777832693,97.03340141395,100.94379877999,104.57254625484,107.56618984565,109.08487989991,123.37578981876,126.64253364768,119.22281241814,119.85247460682,113.86516023412,101.80299300038,103.17306679671,105.06255826695,119.57001780621,120.73779154877,121.17485032891,123.23774468328,128.60881989096,123.57839506631,120.95190356405,116.37997563496,119.4462479618,119.73465228229,119.76288997208,108.43747980764,107.45341289107,115.94166834351,117.68346252421,105.57062228811,107.04975491664,104.91259795495,101.724573642618,104.083403563095,101.897314616986
Uruguay,URY,"3360148","73250.00","2017","2016",URY,Americas,South America,Latin America & Caribbean,"-56.018","-32.800",URY,5.424745284978,5.407390164978,5.870513974926,5.542753535988,5.368750762472,5.700757615152,5.875618102792,5.786273931625,5.901288227011,6.385636392872,5.728207741129,5.168739951129,4.783248634991,3.8312813167,3.450500191412,3.227210910453,3.178508521672,3.577498899446,4.552865781197,4.904350623852,3.893692430614,4.415006904577,4.837068751475,4.585551807426,4.31310978357,4.720436479191,5.519547812551,5.601168033442,5.805377716763,6.819419494964,5.450472729129,5.017938081173,4.624733629901,4.585278919795,5.70987585134,5.49944795683,6.43212096541,5.93876550585,7.8234277799,7.98392368323,6.38363806552,7.679594528777,8.67534054703,7.53462638121,6.67853863185,6.74202395478,6.64899752428289,6.70171616651714,6.93472349677437
Micronesia,FSM,"104196","314.00","2017","2016",FSM,Oceania,Micronesia,East Asia & Pacific,"153.239","7.452",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
