X,Y,Inbetriebn,PLZ,Ort,Strasse,Nennleistu,kWh(2013),kWh(averag,kWh/kW,addrtype,addrlocat
8.11137461263474,49.20126335,24.09.2003,"76829",Landau,"Hindenburgstraße,2","2,5","2737","2920,6","1168",building,yes
8.11137461263474,49.20126335,24.09.2003,"76829",Landau,"Hindenburgstraße,2","44,2","51865","53440,571","1209",building,yes
8.0951794,49.1655567,17.10.2003,"76829",Landau,Impflinger Straße,"3,8","3470","3876,176","1020",highway,unclassified
8.10106384898834,49.20996505,13.11.2003,"76829",Landau,"Am Heidenweg,2","5,1","4966","5272,857","1033",building,yes
8.12046188048162,49.19243305,01.12.2003,"76829",Landau,"Moltkestraße,41","4,5","3633","3935,571","874",building,yes
8.10921885,49.19814515,16.12.2003,"76829",Landau,"Westring,11","9,25","5146","5587,429","604",leisure,sports_centre
8.10921407536058,49.20883165,23.12.2003,"76829",Landau,"Nußdorfer Weg,13","5,04","6708","7205,6","1429",building,yes
8.10280774362941,49.20701955,02.01.2004,"76829",Landau,"Im Steingebiß,63","5,12","4112","4588,714","896",building,yes
8.08954098494955,49.19367085,05.01.2004,"76829",Landau,"Am Jagdstock,27","2,64","2128","2386,714","904",building,yes
8.0874116,49.1878095,09.01.2004,"76829",Landau,"Kolmarer Straße,78","5,12","4703","5390,571","1052",highway,residential
8.0970156,49.1365251,16.01.2004,"76829",Landau,Raiffeisenstraße,"4,6","4218","3954,24","859",highway,residential
8.12300036794449,49.20683695,29.01.2004,"76829",Landau,"August-Croissant-Straße,27","46,1","46725","44839,897","972",building,yes
8.10921407536058,49.20883165,04.03.2004,"76829",Landau,"Nußdorfer Weg,13","11","3404","5990,286","544",building,yes
8.0996083,49.18951925,04.05.2004,"76829",Landau,"Berwartsteinstraße,3","3","2449","2693,571","897",building,yes
8.1345706,49.2024751,04.05.2004,"76829",Landau,"Sachsenstraße,14","3,84","3754","4319,857","1124",building,yes
8.1062583,49.2100856,04.05.2004,"76829",Landau,"Triftweg,14","6,4","5190","5788,429","904",building,yes
8.11735188673553,49.2023612,25.05.2004,"76829",Landau,"Haardtstraße,4","19,2","16415","18489,286","962",amenity,fire_station
8.1318393,49.2050427,25.05.2004,"76829",Landau,"Horstring,18","12","11442","12662,429","1055",highway,tertiary
8.10213954879223,49.2082313,09.06.2004,"76829",Landau,"Im Steingebiß,45","6","6185","6103,429","1017",building,yes
8.0702639,49.169211,01.07.2004,"76829",Landau,Am Frohnacker,"4,4","4197","4024,839","914",highway,residential
8.0737403,49.164122,01.07.2004,"76829",Landau,Im Erbsenfeld,"4,4","4144","4269,423","970",highway,residential
8.0970156,49.1365251,01.07.2004,"76829",Landau,Raiffeisenstraße,"10,9","9441","9503,383","871",highway,residential
8.0702639,49.169211,01.07.2004,"76829",Landau,Am Frohnacker,"8,1","8277","8446,826","1042",highway,residential
8.0724176,49.1673444,14.07.2004,"76829",Landau,Johann-Thomas-Schley-Straße,"29,95","27467","30529,975","1019",highway,residential
8.088332,49.1898292,14.07.2004,"76829",Landau,"Türkheimer Straße,2","2","1880","2037,571","1018",highway,residential
8.12149787558751,49.19160695,15.07.2004,"76829",Landau,"Haydnstraße,16","2,28","1614","1796,429","787",building,yes
8.08690885732036,49.19182825,13.10.2004,"76829",Landau,"Hagenauer Straße,13","4,188","3976","4499,143","1074",building,yes
8.1355913,49.20244515,09.11.2004,"76829",Landau,"Thüringer Straße,18","3,85","3708","4020,143","1044",building,yes
8.09112265,49.19311855,21.12.2004,"76829",Landau,"Emich-von-Leiningen-Straße,19","3,72","2973","3425,571","920",building,yes
8.1110967,49.200739,22.12.2004,"76829",Landau,"Fortstraße,7","30,9","30047","34747,429","1124",highway,residential
8.0954569,49.1914949,05.01.2005,"76829",Landau,"Drachenfelsstraße,7","1,6","1472","1658,714","1036",place,house
8.0971495,49.1885432,23.03.2005,"76829",Landau,"Rappoltsweilerstraße,13","4,4","3576","3861,429","877",highway,residential
8.08711477809843,49.19210225,04.04.2005,"76829",Landau,"Hagenauer Straße,3","4,73","2327","3482","736",building,yes
8.0971495,49.1885432,08.04.2005,"76829",Landau,"Rappoltsweilerstraße,19","3,96","3887","4363,857","1101",highway,residential
8.11303874554426,49.1978159,11.04.2005,"76829",Landau,"Kronstraße,16","2,15","2125","2355","1095",building,yes
8.08871435,49.19165525,14.04.2005,"76829",Landau,"Oberehnheimer Straße,7","3,5","3137","3371,75","963",building,yes
8.13462080313053,49.20265435,19.05.2005,"76829",Landau,"Sachsenstraße,10","3,78","3284","3504,2","927",building,yes
8.0874116,49.1878095,24.05.2005,"76829",Landau,"Kolmarer Straße,13","3,15","2597","3061,143","971",highway,residential
8.12105802479757,49.1933513,06.06.2005,"76829",Landau,"Gabelsberger Straße,8","3","2073","2300","766",building,yes
8.0436122,49.160546,27.06.2005,"76829",Landau,Brühlstraße,"20,91","19442","19750,342","944",highway,residential
8.0980907,49.1901602,29.06.2005,"76829",Landau,"Berwartsteinstraße,4","6,75","5618","6087,429","901",highway,residential
8.11531994058803,49.1946001,29.06.2005,"76829",Landau,"Reiterstraße,16","18","19050","21298,714","1183",office,government
8.0766834,49.1655271,01.07.2005,"76829",Landau,Jakob-Becker-Straße,"5,33","4637","5305,625","995",highway,residential
8.0436122,49.160546,01.07.2005,"76829",Landau,Brühlstraße,"5,04","4926","4724,673","937",highway,residential
8.0970156,49.1365251,01.07.2005,"76829",Landau,Raiffeisenstraße,"29,25",,"26129,919","893",highway,residential
8.0702639,49.169211,01.07.2005,"76829",Landau,Am Frohnacker,"12,92","11963","11091,224","858",highway,residential
8.1556999,49.2170599,01.07.2005,"76829",Landau,Friedrich-Kreutz-Ring,"6,16","6040","6469,154","1050",highway,residential
8.14285842117702,49.2088537,13.07.2005,"76829",Landau,"Berliner Straße,65","2,4","595","767,429","319",building,yes
8.1077032,49.20778895,23.07.2005,"76829",Landau,"Godramsteiner Straße,37","5,04","4752","5312,143","1053",building,yes
8.10446545018337,49.19179665,28.07.2005,"76829",Landau,"Scharfeneckstraße,6","1,12","968","1083,571","967",building,yes
8.088332,49.1898292,14.09.2005,"76829",Landau,"Türkheimer Straße,29","4,6","4354","4826,714","1049",highway,residential
8.14296592554197,49.2091249,12.10.2005,"76829",Landau,"Hamburger Straße,24","3,5","3075","3611","1031",building,yes
8.13273505911223,49.2044517,27.10.2005,"76829",Landau,"Lindenstraße,20","3","3277","3767,571","1255",building,yes
8.0877572,49.1905643,07.11.2005,"76829",Landau,"Rosheimer Straße,21","11,05","8885","10416,571","942",highway,residential
8.0979674824713,49.1961706,09.11.2005,"76829",Landau,"Kanalweg,18","6,12","6056","6650,286","1086",building,yes
